Languages,Dialects,Districts,State
"""KACHCHI""","""JADEGI"" ","""KUTCH""","""GUJARAT"""
"""KACHCHI""","""WESTERN KACHCHI""","""KUTCH""","""GUJARAT"""
"""KACHCHI""","""EASTERN KACHCHI""","""KUTCH""","""GUJARAT"""
"""GUJARATI""","""AMDAWADI GUJARATI""","""AHMEDABAD""","""GUJARAT"""
"""GUJARATI""","""KHARWA""","""AMRELI""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""AMRELI""","""GUJARAT"""
"""GUJARATI""","""CHAROTARI""","""ANAND""","""GUJARAT"""
"""GUJARATI""","""KAKARI""","""BHARUCH""","""GUJARAT"""
"""GUJARATI""","EASTERN BROACH GUJARATI""","""BHARUCH""","""GUJARAT"""
"""GUJARATI""","""KHARWA""","""BHAVNAGAR""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""BHAVNAGAR""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""BOTAD""","""GUJARAT"""
"""GUJARATI""","""KAKARI""","""DANG""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""DEVBHOOMI�DWARKA""","""GUJARAT"""
"""GUJARATI""","""GAMADIA""","""GANDHINAGAR""","""GUJARAT"""
"""GUJARATI""","""KHARWA""","""GIR SOMNATH""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""GIR SOMNATH""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""JAMNAGAR""","""GUJARAT"""
"""GUJARATI""","""KHARWA""","""JUNAGADH""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""JUNAGADH""","""GUJARAT"""
"""GUJARATI""","""CHAROTARI""","""KHEDA""","""GUJARAT"""
"""GUJARATI""","""MEHSAANI""","""MEHSANA""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""MORBI""","""GUJARAT"""
"""GUJARATI""","""KAKARI""","""NAVSARI""","""GUJARAT"""
"""GUJARATI""","""PATANI""","""PATAN""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""PORBANDAR""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""RAJKOT""","""GUJARAT"""
"""GUJARATI""","""SURATI""","""SURAT""","""GUJARAT"""
"""GUJARATI""","""KATHIYAWADI""","""SURENDRANAGAR""","""GUJARAT"""
"""GUJARATI""","""VADODARI""","""VADODARA""","""GUJARAT"""
"""GUJARATI""","""KAKARI""","""VALSAD""","""GUJARAT"""
"""MARWARI""","""THALI""","""JODHPUR""","""RAJASTHAN"""
"""MARWARI""","""THALI""","""BIKANER""","""RAJASTHAN"""
"""MARWARI""","""THALI""","""JAISALMER""","""RAJASTHAN"""
"""MARWARI""","""GODWARI""","""JALORE""","""RAJASTHAN"""
"""MARWARI""","""GODWARI""","""SIROHI""","""RAJASTHAN"""
"""MARWARI""","""GODWARI""","""PALI""","""RAJASTHAN"""
"""MARWARI""","""DHATKI""","""BARMER""","""RAJASTHAN"""
"""MARWARI""","""SHEKHAWATI""","""JHUNJHUNU""","""RAJASTHAN"""
"""MARWARI""","""SHEKHAWATI""","""SIKAR""","""RAJASTHAN"""
"""MARWARI""","""MEWARI""","""BHILWARA""","""RAJASTHAN"""
"""MARWARI""","""MEWARI""","""RAJSAMAND""","""RAJASTHAN"""
"""MARWARI""","""MEWARI""","""UDAIPUR""","""RAJASTHAN"""
"""MARWARI""","""MEWARI""","""CHITTORGARH""","""RAJASTHAN"""
"""MARWARI""","""MEWARI""","""PRATAPGARH""","""RAJASTHAN"""
"""BHILI""","""VAGDI""","""BANSWARA""","""RAJASTHAN"""
"""BHILI""","""VAGDI""","""DUNGARPUR""","""RAJASTHAN"""
"""BHILI""","""VAGDI""","""BANSWARA""","""RAJASTHAN"""
"""RAJASTHANI""","""BAGRI""","""GANGANAGAR""","""RAJASTHAN"""
"""RAJASTHANI""","""BAGRI""","""BIKANER""","""RAJASTHAN"""
"""RAJASTHANI""","""BAGRI""","""HANUMANGARH""","""RAJASTHAN"""
"""RAJASTHANI""","""BAGRI""","""CHURU""","""RAJASTHAN"""
"""RAJASTHANI""","""MALVI""","""JHALAWAR""","""RAJASTHAN"""
"""RAJASTHANI""","""DHUNDARI""","""JAIPUR""","""RAJASTHAN"""
"""RAJASTHANI""","""DHUNDARI""","""SAWAI MADHOPUR""","""RAJASTHAN"""
"""RAJASTHANI""","""DHUNDARI""","""DAUSA""","""RAJASTHAN"""
"""RAJASTHANI""","""DHUNDARI""","""TONK""","""RAJASTHAN"""
"""RAJASTHANI""","""HARAUTI""","""KOTA""","""RAJASTHAN"""
"""RAJASTHANI""","""HARAUTI""","""BARAN""","""RAJASTHAN"""
"""RAJASTHANI""","""HARAUTI""","""BUNDI""","""RAJASTHAN"""
"""RAJASTHANI""","""HARAUTI""","""JHALAWAR""","""RAJASTHAN"""
"""BRAJ""","""BRAJ BHASHA""","""KARAULI""","RAJASTHAN"""
"""BRAJ""","""BRAJ BHASHA""","""GANGAPUR""","RAJASTHAN"""
"""BRAJ""","""BRAJ BHASHA""","""DEEG""","RAJASTHAN"""
"""BRAJ""","""BRAJ BHASHA""","""BHARATPUR""","RAJASTHAN"""
"""BRAJ""","""BRAJ BHASHA""","""DHOLPUR""","RAJASTHAN"""
"""MARATHI""","""VARHADI""","""AKOLA""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""AMRAVATI""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""WARDHA""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""WASHIM""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""BULDHANA""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""YAVATMAL""","""MAHARASHTRA"""
"""MARATHI""","""VARHADI""","""NAGPUR""","""MAHARASHTRA"""
"""MARATHI""","""ZADI BOLI""","""GONDIA""","""MAHARASHTRA"""
"""MARATHI""","""ZADI BOLI""","""BHANDARA""","""MAHARASHTRA"""
